Image,mean_reaction_time
Nimstim_1b/08F_SP_O.BMP,2.454489337
Nimstim_1b/09F_AN_C.BMP,2.893944057
Nimstim_1b/09F_AN_O.BMP,2.512826157
Nimstim_1b/09F_DI_C.BMP,2.946485753
Nimstim_1b/09F_DI_O.BMP,3.27427139
Nimstim_1b/09F_HA_C.BMP,3.137426965
Nimstim_1b/09F_HA_O.BMP,2.034173831
Nimstim_1b/09F_HA_X.BMP,2.190028126
Nimstim_1b/09F_NE_C.BMP,2.661679232
Nimstim_1b/09F_NE_O.BMP,3.723394878
Nimstim_1b/09F_SP_O.BMP,3.05442801
Nimstim_1b/10F_DI_C.BMP,4.690334385
Nimstim_1b/10F_DI_O.BMP,2.997443968
Nimstim_1b/20M_AN_C.BMP,3.458178436
Nimstim_1b/20M_AN_O.BMP,2.140660327
Nimstim_1b/20M_HA_C.BMP,2.48903987
Nimstim_1b/20M_HA_O.BMP,2.00853542
Nimstim_1b/20M_HA_X.BMP,2.947765188
Nimstim_1b/20M_NE_C.BMP,2.64201168
Nimstim_1b/20M_NE_O.BMP,3.664018037
Nimstim_1b/20M_SP_O.BMP,3.935387655
Nimstim_1b/29M_NE_O.BMP,4.963108821
Nimstim_1b/29M_SP_O.BMP,2.431761379
Nimstim_1b/30M_AN_C.BMP,4.310536983
Nimstim_1b/30M_AN_O.BMP,2.84670948
Nimstim_1b/30M_DI_O.BMP,5.150550882
Nimstim_1b/30M_HA_C.BMP,3.093773587
Nimstim_1b/30M_HA_O.BMP,3.357199772
Nimstim_1b/30M_HA_X.BMP,2.6200275
Nimstim_1b/30M_NE_C.BMP,2.025538106
Nimstim_1b/30M_NE_O.BMP,2.806820365
Nimstim_1b/30M_SP_O.BMP,2.501266042
Nimstim_1b/31M_DI_C.BMP,4.0076527
Nimstim_1b/31M_DI_O.BMP,5.70868309
Nimstim_1b/32M_AN_C.BMP,3.207872967
Nimstim_1b/32M_AN_O.BMP,2.244026695
Nimstim_1b/32M_DI_C.BMP,3.305099757
Nimstim_1b/32M_DI_O.BMP,4.265956393
Nimstim_1b/32M_HA_C.BMP,2.595911075
Nimstim_1b/32M_HA_O.BMP,2.895590458
Nimstim_1b/32M_HA_X.BMP,4.520812371
Nimstim_1b/32M_NE_C.BMP,3.0197441
Nimstim_1b/34M_SP_O.BMP,2.5864256
Nimstim_1b/35M_AN_C.BMP,3.572823006
Nimstim_1b/35M_AN_O.BMP,3.220137594
Nimstim_1b/35M_DI_O.BMP,3.493430474
Nimstim_1b/35M_HA_C.BMP,2.95223294
Nimstim_1b/35M_HA_O.BMP,2.313623771
Nimstim_1b/35M_HA_X.BMP,2.170511607
Nimstim_1b/35M_NE_C.BMP,3.850795665
Nimstim_1b/35M_NE_O.BMP,5.514504453
Nimstim_1b/35M_SP_O.BMP,2.682024168
Nimstim_1b/36M_AN_O.BMP,3.657893188
Nimstim_1b/36M_DI_C.BMP,4.5248722
Nimstim_1b/36M_DI_O.BMP,3.951267244
Nimstim_1b/36M_HA_C.BMP,3.2681063
Nimstim_1b/36M_HA_O.BMP,2.415424736
Nimstim_1b/36M_HA_X.BMP,3.894578461
Nimstim_1b/36M_NE_C.BMP,2.501594511
Nimstim_1b/36M_NE_O.BMP,4.398288182
Nimstim_1b/36M_SP_O.BMP,3.343396985
Nimstim_1b/37M_DI_C.BMP,2.792841068
Nimstim_1b/37M_DI_O.BMP,3.355765058
Nimstim_1b/08F_SP_O.BMP,2.454489337
Nimstim_1b/09F_AN_C.BMP,2.893944057
Nimstim_1b/09F_AN_O.BMP,2.512826157
Nimstim_1b/09F_DI_C.BMP,2.946485753
Nimstim_1b/09F_DI_O.BMP,3.27427139
Nimstim_1b/09F_HA_C.BMP,3.137426965
Nimstim_1b/09F_HA_O.BMP,2.034173831
Nimstim_1b/09F_HA_X.BMP,2.190028126
Nimstim_1b/09F_NE_C.BMP,2.661679232
Nimstim_1b/09F_NE_O.BMP,3.723394878
Nimstim_1b/09F_SP_O.BMP,3.05442801
Nimstim_1b/10F_DI_C.BMP,4.690334385
Nimstim_1b/10F_DI_O.BMP,2.997443968
Nimstim_1b/20M_AN_C.BMP,3.458178436
Nimstim_1b/20M_AN_O.BMP,2.140660327
Nimstim_1b/20M_HA_C.BMP,2.48903987
Nimstim_1b/20M_HA_O.BMP,2.00853542
Nimstim_1b/20M_HA_X.BMP,2.947765188
Nimstim_1b/20M_NE_C.BMP,2.64201168
Nimstim_1b/20M_NE_O.BMP,3.664018037
Nimstim_1b/20M_SP_O.BMP,3.935387655
Nimstim_1b/29M_NE_O.BMP,4.963108821
Nimstim_1b/29M_SP_O.BMP,2.431761379
Nimstim_1b/30M_AN_C.BMP,4.310536983
Nimstim_1b/30M_AN_O.BMP,2.84670948
Nimstim_1b/30M_DI_O.BMP,5.150550882
Nimstim_1b/30M_HA_C.BMP,3.093773587
Nimstim_1b/30M_HA_O.BMP,3.357199772
Nimstim_1b/30M_HA_X.BMP,2.6200275
Nimstim_1b/30M_NE_C.BMP,2.025538106
Nimstim_1b/30M_NE_O.BMP,2.806820365
Nimstim_1b/30M_SP_O.BMP,2.501266042
Nimstim_1b/31M_DI_C.BMP,4.0076527
Nimstim_1b/31M_DI_O.BMP,5.70868309
Nimstim_1b/32M_AN_C.BMP,3.207872967
Nimstim_1b/32M_AN_O.BMP,2.244026695
Nimstim_1b/32M_DI_C.BMP,3.305099757
Nimstim_1b/32M_DI_O.BMP,4.265956393
Nimstim_1b/32M_HA_C.BMP,2.595911075
Nimstim_1b/32M_HA_O.BMP,2.895590458
Nimstim_1b/32M_HA_X.BMP,4.520812371
Nimstim_1b/32M_NE_C.BMP,3.0197441
