Particpant No.,Music Piece 1,Music Piece 2
1,Bhayanak (भयानक): Terror or fear,Shanth (शांत): Peace or tranquility
2,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
3,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
4,Bhayanak (भयानक): Terror or fear,Shanth (शांत): Peace or tranquility
5,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
6,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
7,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
8,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
9,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
10,Raudra (रौद्र): Anger,Shringara (शृंगार): Love or beauty
11,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
12,Bhayanak (भयानक): Terror or fear,Adbuth (अद्भुत): Surprise or wonder
13,Bibhatsa (वीभत्स): Disgust,Adbuth (अद्भुत): Surprise or wonder
14,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
15,Veer (वीर): Heroism or courage,Shanth (शांत): Peace or tranquility
16,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
17,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
18,Bhayanak (भयानक): Terror or fear,Shringara (शृंगार): Love or beauty
19,Shringara (शृंगार): Love or beauty,Hasya (हास्य): Laughter
20,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
21,Bhayanak (भयानक): Terror or fear,Shanth (शांत): Peace or tranquility
22,Karun (करुण): Sorrow,Adbuth (अद्भुत): Surprise or wonder
23,Veer (वीर): Heroism or courage,Shanth (शांत): Peace or tranquility
24,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
25,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
26,Shringara (शृंगार): Love or beauty,Adbuth (अद्भुत): Surprise or wonder
27,Bhayanak (भयानक): Terror or fear,Shringara (शृंगार): Love or beauty
28,None of the above,Shringara (शृंगार): Love or beauty
29,Adbuth (अद्भुत): Surprise or wonder,Shanth (शांत): Peace or tranquility
30,Raudra (रौद्र): Anger,None of the above
31,Shringara (शृंगार): Love or beauty,Shanth (शांत): Peace or tranquility
32,Karun (करुण): Sorrow,Hasya (हास्य): Laughter
33,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
34,Adbuth (अद्भुत): Surprise or wonder,Shanth (शांत): Peace or tranquility
35,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
36,Shringara (शृंगार): Love or beauty,Hasya (हास्य): Laughter
37,Adbuth (अद्भुत): Surprise or wonder,Shringara (शृंगार): Love or beauty
38,Karun (करुण): Sorrow,Hasya (हास्य): Laughter
39,None of the above,Shringara (शृंगार): Love or beauty
40,Shanth (शांत): Peace or tranquility,Shringara (शृंगार): Love or beauty
41,Bhayanak (भयानक): Terror or fear,Hasya (हास्य): Laughter
42,Karun (करुण): Sorrow,Shringara (शृंगार): Love or beauty
43,Adbuth (अद्भुत): Surprise or wonder,Shanth (शांत): Peace or tranquility
44,None of the above,Shringara (शृंगार): Love or beauty
45,Shanth (शांत): Peace or tranquility,Shringara (शृंगार): Love or beauty
46,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
47,Shringara (शृंगार): Love or beauty,Shanth (शांत): Peace or tranquility
48,None of the above,Adbuth (अद्भुत): Surprise or wonder
49,Veer (वीर): Heroism or courage,Adbuth (अद्भुत): Surprise or wonder
50,Shanth (शांत): Peace or tranquility,Karun (करुण): Sorrow
51,Karun (करुण): Sorrow,Shanth (शांत): Peace or tranquility
